,or,0.025,0.975,pvalue,significance,names
no2_val,1.0305127169931363,1.0117767851175632,1.0495955980658145,0.0013245963013000402,p-value < 0.05,no2_val
nox_val,1.017698907646556,1.006812311306833,1.0287032200476867,0.0013875659099997961,p-value < 0.05,nox_val
o3_val,0.9474841972746426,0.9268384122732115,0.9685898773696315,1.5933592860447e-06,p-value < 0.05,o3_val
pm10_val,0.9326235543868776,0.9016389352076832,0.9646729530339847,5.203169831918845e-05,p-value < 0.05,pm10_val
pm25_val,0.9064375359559768,0.8594575960234424,0.9559855080593553,0.00029729373671786414,p-value < 0.05,pm25_val
