,Code,deaths,X2018.people.per.sq..km,Mean_ann_earnings,median_age_2018,pm25_5yAvg,no2_5yAvg,o3_5yAvg,pm10_5yAvg,nox_5yAvg,cases,earnings_5ya.x,pop_dens_5ya,age_5ya.x,earnings_5ya.y,age_5ya.y,earnings_5ya,age_5ya,Area code,Cumulative lab-confirmed cases
34,E06000019,18,88,24950,47.0,8.697208900000001,6.3357757,3.9056394999999995,13.816851000000002,8.322226299999999,102,23989.0,87,46.4,23989.0,46.4,23989.0,46.4,E06000019,102
35,E06000019,18,88,24950,47.0,8.697208900000001,6.3357757,3.9056394999999995,13.816851000000002,8.322226299999999,102,23989.0,87,46.4,23989.0,46.4,23989.0,46.4,E06000019,102
36,E06000020,20,612,23856,39.4,8.4282,9.204616,3.5940513999999997,13.306339000000001,12.423963,130,23612.4,602,39.3,23612.4,39.3,23612.4,39.3,E06000020,130
37,E06000020,20,612,23856,39.4,8.4282,9.204616,3.5940513999999997,13.306339000000001,12.423963,130,23612.4,602,39.3,23612.4,39.3,23612.4,39.3,E06000020,130
38,E06000021,31,2738,24502,37.7,9.576287400000002,20.184143,1.8476429,14.135829999999999,29.960794,189,22669.0,2718,37.9,22669.0,37.9,22669.0,37.9,E06000021,189
39,E06000021,31,2738,24502,37.7,9.576287400000002,20.184143,1.8476429,14.135829999999999,29.960794,189,22669.0,2718,37.9,22669.0,37.9,22669.0,37.9,E06000021,189
40,E06000022,34,555,30783,38.2,8.5415668,7.3768917,3.383924,12.987733,9.798867199999998,124,29150.2,543,39.1,29150.2,39.1,29150.2,39.1,E06000022,124
41,E06000022,34,555,30783,38.2,8.5415668,7.3768917,3.383924,12.987733,9.798867199999998,124,29150.2,543,39.1,29150.2,39.1,29150.2,39.1,E06000022,124
42,E06000023,62,4224,28065,32.5,10.3732913,22.242587,2.0065333,15.395295999999998,33.728871000000005,324,26717.8,4157,32.9,26717.8,32.9,26717.8,32.9,E06000023,324
43,E06000023,62,4224,28065,32.5,10.3732913,22.242587,2.0065333,15.395295999999998,33.728871000000005,324,26717.8,4157,32.9,26717.8,32.9,26717.8,32.9,E06000023,324
44,E06000024,19,572,29897,45.9,8.1887902,9.3774493,3.0408202,12.285081,12.674347000000001,118,28927.4,567,45.5,28927.4,45.5,28927.4,45.5,E06000024,118
45,E06000024,19,572,29897,45.9,8.1887902,9.3774493,3.0408202,12.285081,12.674347000000001,118,28927.4,567,45.5,28927.4,45.5,28927.4,45.5,E06000024,118
46,E06000025,52,569,27813,40.7,9.3327132,12.396116000000001,3.0532315,14.316492000000002,17.163776000000002,211,27319.2,560,41.1,27319.2,41.1,27319.2,41.1,E06000025,211
47,E06000025,52,569,27813,40.7,9.3327132,12.396116000000001,3.0532315,14.316492000000002,17.163776000000002,211,27319.2,560,41.1,27319.2,41.1,27319.2,41.1,E06000025,211
48,E06000026,21,3296,25021,38.3,8.7849109,16.255571,2.4538333999999997,13.583175,23.503161,142,23104.4,3282,38.1,23104.4,38.1,23104.4,38.1,E06000026,142
49,E06000026,21,3296,25021,38.3,8.7849109,16.255571,2.4538333999999997,13.583175,23.503161,142,23104.4,3282,38.1,23104.4,38.1,23104.4,38.1,E06000026,142
