Code,deaths,2018 people per sq. km,Mean_ann_earnings,median_age_2018,pm25_5yAvg,no2_5yAvg,o3_5yAvg,pm10_5yAvg,nox_5yAvg
E06000054,89,153,29483.0,44.6,8.064858019999999,6.437630499999999,4.640695008,11.825762600000001,8.5298777
E06000055,32,360,28943.0,40.2,10.629204179999999,16.950650600000003,3.526847154,15.5310392,24.577041599999998
E06000056,61,396,32221.0,41.3,10.393173520000001,12.91594718,4.080325908,15.516102600000002,18.0818884
E06000057,59,64,25438.0,48.0,5.38475418,3.9685935800000003,1.9859255,7.72358524,5.091700319999999
E07000004,30,221,33029.0,40.3,7.59060764,12.381070099999999,2.2325010759999997,10.9111397,17.108617599999995
E07000005,41,489,43497.0,45.1,7.359764380000001,7.553967160000001,4.1290614,11.2606623,10.003931
E07000006,22,496,46937.0,44.8,10.393353559999998,17.7378086,3.5091011620000003,14.905565199999998,25.843530599999998
E07000007,36,538,37322.0,41.2,10.618229320000001,16.017132600000004,3.634739546,15.263141,22.8993736
E07000008,12,3090,36066.0,30.6,10.38304686,15.60242762,4.510207162,15.4313038,22.3704366
E07000009,13,137,30966.0,43.0,10.029694580000001,8.726474460000002,5.7094323000000005,16.062941,11.762562120000002
E07000010,14,186,25799.0,44.8,10.110573200000001,8.829035299999997,5.00434366,16.585846999999998,11.93039934
E07000011,18,196,33158.0,43.3,9.98608458,11.06444836,4.557304299999999,15.7125704,15.168490400000001
E07000012,12,175,38350.0,42.9,9.878589519999998,8.69333728,5.3755632,15.448987000000002,11.704341620000003
E07000026,24,79,28789.0,47.8,5.164978959999999,3.8748672400000004,1.9942923799999996,7.6842046999999996,4.95397906
E07000027,27,861,27140.0,44.9,8.69358076,12.503357499999998,2.0479448420000006,12.01781222,17.878201719999996
E07000028,31,104,23809.0,44.8,7.20679246,10.49924286,1.6606098599999999,10.313271920000002,14.29867296
E07000029,18,94,31177.0,46.7,5.28048372,3.6897342199999996,2.12616662,7.82265256,4.714418620000001
E07000030,14,25,22359.0,50.3,5.630828760000001,5.469722360000001,2.42527616,8.281556220000002,7.09480164
E07000031,63,68,27942.0,50.9,6.36042706,7.0195044,2.23600886,9.74070222,9.21314224
E07000032,31,477,28594.0,46.0,9.62355614,13.133371579999999,2.488744312,14.047265000000001,18.407579799999997
E07000033,10,496,23373.0,44.0,9.517535339999998,13.266738400000003,2.303865548,15.184342199999998,18.5476992
E07000034,17,1584,25376.0,44.5,8.75426854,16.828839199999997,1.800911358,12.7161608,24.5628062
E07000035,18,91,31252.0,50.8,7.718865380000001,8.0453598,2.482057012,11.859423920000001,10.785773679999998
E07000036,29,1053,25772.0,43.7,10.053685960000001,14.404607799999999,2.5880958739999995,15.469147600000003,20.401845399999996
E07000037,19,171,25908.0,45.9,6.49052638,7.4803572,2.0398101420000003,9.277369179999999,9.972656780000003
E07000038,31,367,25327.0,47.6,7.648886039999999,9.061729040000001,2.34842878,11.3749683,12.254584379999999
E07000039,26,309,32936.0,42.2,9.757552100000002,10.993966419999998,2.94798764,15.114069,15.1119988
E07000040,8,177,25979.0,50.9,7.09089172,4.61931236,3.373646428,11.373262239999999,5.95404318
E07000041,16,2773,24395.0,33.7,8.48748526,11.16636844,2.9058971,12.7772465,15.25438116
E07000042,4,89,24840.0,46.5,7.00101358,3.78411646,3.388983276,11.292484860000002,4.83766144
E07000043,5,88,22084.0,47.6,6.7814285,3.9850809400000005,3.2035849400000003,10.90341606,5.1008235
E07000044,4,97,25262.0,51.2,6.4876109999999985,4.090603540000001,3.453074118,10.670892199999999,5.2414741199999995
E07000045,11,197,23794.0,49.2,7.0030124,4.81147012,3.432839268,11.22941536,6.201216700000001
E07000046,2,69,22622.0,50.2,6.744757899999999,3.18232192,3.317226696,11.197707300000001,4.03991588
E07000047,5,48,23198.0,50.8,6.194190859999999,3.2044396600000007,3.4579451900000002,9.917294340000002,4.06882772
E07000061,19,2336,26181.0,45.7,9.552774200000002,10.66926824,3.059308316,13.8203936,14.548036980000001
E07000062,3,3124,22645.0,43.0,10.2905212,10.62818348,3.2962150880000003,14.7423884,14.4766684
E07000063,21,352,27060.0,47.7,9.75543508,12.058204439999997,3.0160911080000004,14.530666199999999,16.572610999999995
E07000064,8,188,28719.0,52.8,9.38950604,7.499058019999998,3.7896976059999994,14.3382578,9.933806760000001
E07000065,23,192,28785.0,48.8,8.91882474,7.540945839999999,3.3216710399999996,13.4367952,9.988677619999999
E07000066,63,1689,32954.0,39.3,11.392952599999997,18.1676502,3.687290216,16.614669000000003,26.518566599999996
E07000067,28,248,32889.0,43.5,10.7239343,12.460800939999999,4.47929322,16.061272199999998,17.211653
E07000068,30,500,40998.0,43.3,11.132372919999998,17.222473,3.871187526000001,16.619449200000002,24.7369952
E07000069,27,1998,31942.0,46.9,10.3218092,14.7660628,4.13012288,14.892576000000002,21.016725599999997
E07000070,47,523,31884.0,41.7,11.5193762,16.208225,3.9586032600000003,16.9307694,23.179425599999995
E07000071,26,585,32774.0,37.9,11.099726799999997,15.394256000000002,3.9295470599999995,16.1970126,21.933111599999997
E07000072,65,387,35185.0,42.7,10.946901019999999,17.3797374,3.7714663159999993,16.301758799999998,25.0308906
E07000073,38,2836,28669.0,37.5,10.69181264,15.4910368,4.0120848680000005,15.747966600000002,22.0011552
E07000074,13,180,34872.0,48.7,10.5405749,10.298741320000001,4.639774320000001,16.300922,14.0083486
E07000075,26,513,32303.0,46.1,10.67480324,13.8252794,4.255142080000001,16.101875399999997,19.472992400000003
E07000076,37,432,24841.0,50.4,10.10602596,9.088391380000001,4.69773762,15.808115600000002,12.221087
E07000077,16,139,43669.0,44.0,10.061199640000002,9.983551039999998,4.924046420000001,15.777564199999997,13.5591434
E07000078,37,2513,32972.0,40.2,9.91828702,14.306350320000002,3.2504543139999997,14.312529600000001,20.2315312
E07000079,14,76,31025.0,48.8,8.87019064,6.55707978,4.057330210000001,13.8222588,8.6576622
E07000080,16,164,26008.0,47.9,8.12260836,6.17164582,3.7835084320000005,11.761133800000001,8.101456259999997
E07000081,31,3188,25840.0,38.9,10.02208564,15.671641,3.043471826,14.604372399999999,22.461306200000003
E07000082,21,258,28761.0,46.4,9.163761919999999,10.616578160000001,3.5991186119999994,13.1940066,14.506387
E07000083,22,223,,44.7,9.16765076,10.48853946,3.596417672,13.5418714,14.31852632
E07000084,41,277,33830.0,41.0,9.24993816,9.16387048,4.835445647999999,14.3142024,12.44103466
E07000085,22,235,40919.0,46.9,9.073241399999999,8.557410379999999,4.695965634,13.757490600000002,11.51845322
E07000086,17,1653,28543.0,42.2,10.860390319999999,21.170978599999998,3.269696204,15.719012000000001,32.1825836
E07000087,40,1567,33102.0,46.3,10.699673639999999,18.893768,3.4401410999999995,15.5592062,28.0123812
E07000088,22,3363,25507.0,42.2,10.35540362,22.297786600000002,2.779164076,14.747404799999998,35.360319
E07000089,20,447,41808.0,43.4,9.416518039999998,12.12662352,4.2618826,13.842679,16.8033042
E07000090,30,2272,27619.0,45.8,10.771213140000002,17.8893512,3.34453906,15.434105799999998,26.282791800000002
E07000091,27,239,27106.0,50.4,8.422417779999998,9.32522552,4.559880706,12.222614799999997,12.662197959999999
E07000092,14,2437,33288.0,38.3,9.82735066,13.48036694,3.8891023660000004,13.993820799999998,18.902287999999995
E07000093,15,199,32490.0,44.9,8.78586352,8.307562960000002,5.0421455019999994,13.4332392,11.23105374
E07000094,22,188,,43.4,10.05283824,16.018487599999997,4.093093126,14.817034000000001,22.9828636
E07000095,37,1883,35279.0,40.1,10.28022914,14.7424374,4.068120254,15.249973799999998,20.7426088
E07000096,44,726,34227.0,40.6,9.76894136,11.6928938,4.1460476,14.3271624,16.1017612
E07000098,74,1030,38523.0,40.7,10.61379394,16.6253702,3.72636491,15.592626200000002,23.8457272
E07000099,20,355,33290.0,42.1,10.32138448,14.056329,4.250129139999999,15.861253599999998,19.728871400000003
E07000102,25,1048,44711.0,41.8,10.567542659999999,18.102254,3.5700358119999995,15.7638876,26.1801448
E07000103,38,4515,32829.0,36.7,11.012943660000001,19.5588294,3.2907269660000003,15.816790199999996,28.797298
E07000105,17,223,29591.0,41.9,11.27762092,14.479774800000001,3.7999865319999997,16.6752076,20.389282400000003
E07000106,30,533,28993.0,38.0,10.839395499999998,13.025306400000002,4.214448236000001,15.863587999999998,18.149477400000002
E07000107,29,1508,32715.0,37.3,12.390539399999998,22.617025399999996,3.0078758,18.139127600000002,34.126916800000004
E07000108,24,371,27654.0,46.4,9.88438646,14.014635799999999,3.9706689539999998,14.296355600000002,19.8938876
E07000109,28,1074,28460.0,39.6,10.88670938,15.1290546,3.9667993600000004,16.2465056,21.455690999999995
E07000110,24,432,30868.0,41.4,11.7191014,16.014888000000003,3.7436850880000003,16.810951600000003,22.821353000000002
E07000111,32,326,40393.0,44.1,10.21656204,12.36953186,3.979659012,14.829208399999995,17.068556799999996
E07000112,16,316,26383.0,46.9,9.64234598,8.07532076,4.373951968000001,14.9468716,10.763733519999999
E07000113,33,397,28864.0,41.3,10.331720700000002,10.36909918,4.54446568,15.669696600000004,14.108529199999998
E07000114,31,1372,22388.0,44.7,10.237632960000001,10.33040634,4.5274586999999995,15.968623,14.079702000000003
E07000115,17,543,36707.0,42.3,9.9199539,10.375744300000001,4.228493792,14.399123800000002,14.0814834
E07000116,14,356,36271.0,43.0,10.510746500000002,11.801036059999998,3.621505212,14.959356799999998,16.2391536
E07000117,20,800,23695.0,39.9,8.86515476,14.841912679999998,1.986316724,12.477099460000002,21.0297626
E07000118,17,576,27728.0,43.4,7.364393399999999,11.056883039999999,2.073225206,10.782978060000001,15.1163758
E07000119,16,481,32034.0,50.1,7.5979987,10.406051899999998,2.4502207479999996,11.7409287,14.1120588
E07000120,11,1107,25439.0,39.7,8.496740560000001,15.0491874,1.9872575439999998,12.4473936,21.2604706
E07000121,24,250,27394.0,39.7,7.7408945199999994,12.550700979999998,2.2158324279999997,11.14931032,17.3662028
E07000122,21,540,27708.0,39.7,7.120183600000002,9.450223600000001,2.44065558,10.1076974,12.755025800000002
E07000123,25,997,24298.0,35.2,8.3425109,15.439532000000003,2.037042588,12.297666000000001,21.8792374
E07000124,6,103,32436.0,47.9,6.3708318199999985,6.24856104,2.64190958,9.18705184,8.18857538
E07000125,5,514,26771.0,42.5,7.226597180000001,10.557919040000002,2.1695308,10.56747256,14.3591848
E07000126,16,979,26452.0,44.3,7.60420704,10.829421,2.35777524,11.728198,14.722499200000001
E07000127,30,329,28809.0,44.4,8.19555968,9.214437959999998,2.514036238,13.286536000000002,12.40834794
E07000128,12,394,24317.0,49.5,6.985717719999999,6.705458699999999,2.71661646,11.088895380000002,8.802806280000002
E07000129,14,770,28477.0,43.0,10.2119449,15.8708832,2.83165522,15.287716399999999,22.7595456
E07000130,30,655,27129.0,38.5,10.30340888,15.5530744,2.79419312,15.507245799999998,22.354022
E07000131,14,156,33651.0,46.1,9.314954120000001,9.871368039999998,3.3334920400000003,14.226916600000001,13.48606866
E07000132,18,378,25750.0,45.0,9.58406758,10.145854199999999,3.28281456,14.7337034,13.846557200000001
E07000133,14,106,24053.0,47.1,9.456926579999998,8.96905224,3.38991466,14.861502999999999,12.134201879999997
E07000134,27,366,28006.0,43.9,10.53114974,12.542051220000001,2.99517162,15.911362,17.4297266
E07000135,18,2425,23642.0,42.7,10.06067912,15.6054042,2.82007914,14.7639862,22.456091200000003
E07000136,10,190,21573.0,41.8,10.25160354,13.778837,3.7320532199999996,15.742767999999998,19.478173399999996
E07000137,12,80,23634.0,52.0,9.266042719999998,9.13492156,3.929263399999999,15.652028000000001,12.352490999999999
E07000138,6,2775,22664.0,33.5,9.786918240000002,15.3480442,2.7846554400000003,15.365107,22.078557600000003
E07000139,19,126,28639.0,46.1,9.77431572,9.32870952,3.46879748,16.468815,12.6424208
E07000140,12,125,25558.0,46.2,10.17827148,9.80000944,4.317365520000001,16.5087064,13.32038246
E07000141,12,150,25972.0,46.2,9.613873619999998,8.70141008,3.67005656,15.795781999999999,11.74298118
E07000142,5,82,27685.0,47.9,9.393255700000001,9.43117234,3.3366178,16.026458599999998,12.7941518
E07000143,11,107,23143.0,46.4,9.58193504,7.816957939999999,5.2662685,15.4935342,10.43754856
E07000144,13,234,26363.0,48.0,9.89894188,10.78094534,4.73360514,15.5333486,14.7753758
E07000145,16,570,21918.0,45.7,10.4891345,16.568493999999998,3.8975666999999996,14.927306000000002,24.669128999999995
E07000146,32,106,24498.0,47.4,10.04276082,10.161983,4.9086044399999995,16.2047068,13.859126900000001
E07000147,13,109,21427.0,53.8,9.66893808,8.27996296,4.86508124,15.777459399999998,11.09444474
E07000148,1,3617,25987.0,33.3,11.11318578,17.252487600000002,3.9653210199999998,16.063879,25.073305799999996
E07000149,11,152,28675.0,46.2,9.84032288,8.56395204,5.32353584,16.0308752,11.494946559999999
E07000150,8,882,22986.0,37.4,9.63944828,14.1192262,2.9882939800000003,14.144116000000002,20.016042399999996
E07000151,16,128,31238.0,45.1,9.82290368,12.485645479999999,3.3226677000000002,14.4698104,17.384697800000005
E07000152,27,184,32021.0,44.6,10.60930338,16.331520000000005,3.05850182,16.0551074,23.3999514
E07000153,16,434,27304.0,41.2,10.92598298,18.9557728,2.6163973799999996,16.221527000000002,28.047116999999997
E07000154,49,2787,27777.0,37.2,11.3124596,19.6645102,2.681920182,17.1335758,29.361289200000005
E07000155,13,146,33455.0,45.2,10.60930338,16.331520000000005,3.05850182,16.0551074,23.3999514
E07000156,11,487,23647.0,41.9,10.79627068,15.505281,3.10468174,16.3623988,22.172985
E07000163,20,48,,50.1,6.103345300000001,5.10249334,2.88569994,8.681524860000001,6.626365240000001
E07000164,18,70,27639.0,49.4,7.754015820000001,6.668340240000001,3.62689108,12.795119600000001,8.764856040000002
E07000165,35,123,32191.0,47.0,7.60363,12.558842680000001,2.739722954,11.07857564,17.423650799999997
E07000166,7,40,24638.0,43.9,5.80797076,4.47900432,3.032725198,8.25950698,5.779061420000001
E07000167,6,36,27708.0,50.0,7.711240040000002,5.773563359999999,4.33856578,12.6656552,7.53916454
E07000168,17,133,22600.0,49.7,8.25832262,10.128708139999997,3.8261995600000005,12.4068674,13.745910420000005
E07000169,8,149,32728.0,44.6,8.89297146,10.3145062,3.045818578,14.544657599999999,14.104350660000003
E07000170,37,1161,25083.0,42.1,9.88713568,15.938882999999999,2.303054784,15.026518999999999,22.9381294
E07000171,10,183,24794.0,45.6,9.6773084,11.24906328,2.728650052,15.976948399999998,15.5459112
E07000172,24,1414,32044.0,43.2,10.69513004,20.333551200000006,2.117707834,16.0016098,30.271652200000005
E07000173,31,982,29166.0,44.0,10.21647694,13.9655084,2.6231467200000003,16.1833028,19.6951684
E07000174,33,1419,21600.0,42.1,9.71959942,17.131413000000002,2.1770320159999996,14.415182199999999,24.8913292
E07000175,24,187,27586.0,45.2,9.97434968,9.819297279999999,2.9790648400000004,16.73296,13.3635378
E07000176,17,288,36684.0,43.9,10.436798999999999,11.25303072,3.0743949199999996,16.9283864,15.4948984
E07000177,28,253,31298.0,41.1,9.95621582,11.83316252,3.880897556,15.5281658,16.335988
E07000178,22,3384,30401.0,29.0,10.662324279999998,18.3057724,3.190653278,15.544048199999997,27.148487
E07000179,23,207,40886.0,44.3,9.4013928,9.6136862,4.192731386,13.892541399999999,13.07841384
E07000180,51,232,35462.0,42.6,9.281702319999999,8.215805460000002,4.396025716,14.163290200000002,11.03852788
E07000181,27,154,28948.0,44.4,9.040845960000002,7.30190998,4.23071918,13.558890199999999,9.723609999999999
E07000187,7,155,25863.0,46.6,8.589175459999998,7.239326519999999,3.17876722,12.9212748,9.606861559999999
E07000188,11,218,26472.0,46.5,8.45732972,11.196642319999999,2.79074844,13.2253,15.29867222
E07000189,12,175,23211.0,47.2,8.188053960000001,5.8873844,3.2850290279999994,12.5854412,7.711085
E07000192,32,1269,25444.0,42.6,9.103642420000002,12.907455639999998,2.984776938,13.2565956,17.986302000000002
E07000193,36,306,26344.0,42.1,8.256159939999998,8.70855954,2.8926009919999998,12.246886,11.700860500000001
E07000194,39,314,36357.0,46.3,9.38061786,13.728914800000002,2.9247763719999997,13.907601200000002,19.2000034
E07000195,27,614,24887.0,41.9,8.807635059999999,15.898777399999997,2.204072506,13.293013000000002,22.6912644
E07000196,37,275,30398.0,47.7,8.4510002,7.971582040000001,3.72686969,13.174495799999999,10.628347240000002
E07000197,21,227,28083.0,45.2,9.155712939999999,14.2101724,2.814232562,13.3675994,19.9644194
E07000198,17,171,26212.0,48.2,7.626137959999999,8.41513694,2.5558979719999995,10.99065672,11.2789592
E07000199,26,2485,25739.0,41.2,9.92386916,16.564507599999995,2.69276041,14.6538218,23.956469399999996
E07000200,12,154,36313.0,48.5,9.98860814,7.95788326,5.112583540000001,15.818974399999998,10.608685
E07000202,30,3480,24883.0,37.8,11.5676278,16.306525999999998,4.073228459999999,16.6496004,23.5316706
E07000203,16,118,27972.0,47.6,10.18104036,8.22334232,5.33375176,16.684419600000005,10.995854419999997
E07000207,40,1437,47817.0,42.7,8.92717188,9.9542571,3.6542654719999996,13.8396514,13.498509040000002
E07000208,40,2345,,41.5,10.83656178,16.194685200000002,3.499038572000001,15.378834400000002,23.1239722
E07000209,19,546,39178.0,37.5,10.27743178,15.6635686,3.6082187000000006,14.822974399999998,22.4018592
E07000210,38,338,39720.0,47.1,10.302119819999998,11.66718302,3.855953726,15.110876999999999,16.047075
E07000211,80,1144,42621.0,41.4,10.812776799999998,17.75493,3.2936663960000003,16.0128838,25.5867074
E07000212,22,1128,34344.0,38.0,10.67119754,20.784234399999995,3.171375306,15.4776104,30.997996399999998
E07000213,34,2213,32146.0,41.7,10.862139899999999,19.103889,3.2036341719999997,15.572279999999997,28.2392024
E07000214,10,935,41945.0,43.8,10.234420279999998,15.766503199999999,3.7222379919999993,14.613627200000002,22.539257399999997
E07000215,23,353,40378.0,44.2,10.16109564,13.9082784,3.6686092320000006,15.2867692,19.4710374
E07000216,25,364,44350.0,44.6,9.255978780000001,9.334220599999998,4.205491274,13.469668199999997,12.59513076
E07000217,13,1591,35379.0,40.8,10.534004700000002,14.904973799999999,3.7213104879999994,14.8387408,21.0994692
E07000218,19,228,28676.0,45.6,9.49598914,13.0399824,3.0591862599999997,14.192380799999999,18.203411
E07000219,45,1633,25406.0,41.4,10.245468459999998,16.8633288,2.7985533740000004,15.189337799999999,24.371799000000003
E07000220,15,305,31943.0,41.3,9.893603780000001,15.232806240000002,2.9973529799999996,14.650182600000003,21.7527208
E07000221,28,130,34261.0,48.1,9.0636531,7.747046559999999,3.9108881799999997,13.7404264,10.332697360000001
E07000222,29,504,36839.0,39.8,9.691406059999998,16.114233600000002,3.0468274099999997,14.2345056,23.2455004
E07000223,4,1523,26670.0,45.5,9.690762699999999,12.6446367,3.157291914,14.389700800000004,17.5731444
E07000224,14,723,27380.0,49.4,9.330297320000001,9.516874040000001,3.7283051200000004,14.1544194,12.8623194
E07000225,22,154,29877.0,48.9,10.104645340000001,12.9890328,3.7405798280000004,14.7287512,18.2111668
E07000226,21,2500,27167.0,37.2,10.60627914,16.5573386,2.964271184,15.3195534,24.110761199999995
E07000227,26,268,35637.0,46.1,9.994218179999999,11.940314699999998,3.5070426120000002,14.583905999999999,16.4866654
E07000228,41,448,36282.0,43.7,9.475625440000002,9.79969562,3.4140615960000007,14.0071658,13.228718
E07000229,9,3383,30228.0,44.8,10.27708258,13.2288531,3.1817357060000004,14.655488600000002,18.525067200000002
E07000234,37,455,32175.0,45.5,9.555041880000001,15.549810400000002,3.0538685680000004,14.2033454,22.0334038
E07000235,14,135,26325.0,50.5,8.6462383,6.798831760000001,3.8930086179999996,13.472442399999997,8.976486060000001
E07000236,17,1567,23406.0,40.1,9.228546139999999,13.1629266,3.2564633899999995,13.394422400000002,18.3150068
E07000237,13,3062,26961.0,38.3,9.36101494,13.78520524,3.2384940959999993,13.6990248,19.425539
E07000238,31,192,28504.0,48.0,8.67702384,7.908920220000001,3.8105957100000003,13.1730886,10.5440877
E07000239,32,517,25626.0,46.5,9.402321339999999,13.059327960000001,3.3758563020000003,13.715801399999998,18.2184448
E07000240,36,914,52906.0,40.9,10.66040174,17.3540052,3.6516623440000004,15.4932582,25.007578
E07000241,39,948,31020.0,35.4,10.722192719999999,17.903854799999998,3.6823184659999995,15.8780802,25.9455956
E07000242,34,311,45546.0,42.6,9.88794796,10.230663719999999,4.73901562,15.1244464,13.890812400000002
E07000243,4,3379,29805.0,38.1,10.734325680000001,18.5918802,3.612231904,15.8696438,27.306818799999995
E08000001,62,2041,24501.0,38.8,9.49701058,22.6182378,1.338155292,13.969396800000002,34.359458
E08000002,51,1911,27123.0,40.4,10.845547899999998,16.433827720000004,4.28692006,16.5644662,24.056855
E08000003,106,4735,25239.0,30.0,9.653284419999999,28.617765999999996,0.74548937,14.4998796,46.5263426
E08000004,75,1655,23601.0,37.1,9.294387819999999,22.169339,1.3055160439999998,13.6905788,33.5309878
E08000005,71,1391,24755.0,38.1,8.91455634,19.8932128,1.4934770419999999,13.186887200000001,29.451479200000005
E08000006,137,2617,24908.0,35.0,9.58666168,24.5947112,1.136174414,14.266426000000001,38.333760600000005
E08000007,100,2315,30372.0,42.5,9.56570268,23.957572,1.1848609260000003,14.055134200000001,36.8382608
E08000008,75,2183,23571.0,40.2,9.31043998,21.4974582,1.2919903180000003,13.477491599999999,32.51609319999999
E08000009,46,2229,36338.0,40.6,8.3061347,15.937900000000003,1.8040441579999995,12.3480912,22.744771000000004
E08000010,52,1733,25597.0,42.2,8.44940722,17.0312536,1.843919254,12.420801,24.7297908
E08000011,24,1729,25101.0,39.6,8.98520598,18.1766052,1.939901562,13.6181298,26.374337199999996
E08000012,213,4424,25557.0,34.7,8.660222099999999,23.2447698,1.515030618,12.837556400000002,35.826434
E08000013,35,1320,25877.0,43.0,8.977925079999999,19.4375956,1.7095406180000001,13.079289399999999,28.9800314
E08000014,89,1777,25897.0,46.4,8.23708744,13.065589540000001,2.3364092039999997,12.6376354,18.193961
E08000015,116,2058,26766.0,44.3,7.54238096,11.04417608,2.6059577999999997,11.81768766,15.052656199999998
