Unnamed: 0,Code,Mean_ann_earnings,median_age_2018,Name,2018 people per sq. km,deaths,lat,lon
295,E07000041,24395.0,33.7,Exeter,2773,16,50.7255794,-3.5269497
296,E07000042,24840.0,46.5,Mid Devon,89,4,50.8683922,-3.5997
297,E07000043,22084.0,47.6,North Devon,88,5,51.061456,-3.9239233
298,E07000044,25262.0,51.2,South Hams,97,4,50.3720603,-3.8162499
299,E07000045,23794.0,49.2,Teignbridge,197,11,50.6125552,-3.6559106
300,E07000046,22622.0,50.2,Torridge,69,2,50.8626014,-4.2612056
301,E07000047,23198.0,50.8,West Devon,48,5,50.6519974,-4.0743109
234,E07000061,26181.0,45.7,Eastbourne,2336,19,50.7685761,0.2957854
235,E07000062,22645.0,43.0,Hastings,3124,3,50.8553888,0.5824703
236,E07000063,27060.0,47.7,Lewes,352,21,50.8746139,0.0051153
237,E07000064,28719.0,52.8,Rother,188,8,50.9514121,0.5740666
238,E07000065,28785.0,48.8,Wealden,192,23,50.9421692,0.1972801
153,E07000066,32954.0,39.3,Basildon,1689,63,51.5754602,0.4757363
154,E07000067,32889.0,43.5,Braintree,248,28,51.8780637,0.5537161
155,E07000068,40998.0,43.3,Brentwood,500,30,51.6201654,0.3018662
156,E07000069,31942.0,46.9,Castle Point,1998,27,51.5444908,0.5839689
157,E07000070,31884.0,41.7,Chelmsford,523,47,51.7345398,0.4724553
158,E07000071,32774.0,37.9,Colchester,585,26,51.8896903,0.8994651
159,E07000072,35185.0,42.7,Epping Forest,387,65,51.6651914,0.054778
160,E07000073,28669.0,37.5,Harlow,2836,38,51.7676194,0.0974893
161,E07000074,34872.0,48.7,Maldon,180,13,51.7155563,0.6843548
162,E07000075,32303.0,46.1,Rochford,513,26,51.5840602,0.6787131
163,E07000076,24841.0,50.4,Tendring,432,37,51.8753236,1.1128842
164,E07000077,43669.0,44.0,Uttlesford,139,16,51.9299895,0.2708365
302,E07000078,32972.0,40.2,Cheltenham,2513,37,51.8995685,-2.0711559
303,E07000079,31025.0,48.8,Cotswold,76,14,51.845168,-1.8913308
304,E07000080,26008.0,47.9,Forest of Dean,164,16,51.8090013,-2.5559861
305,E07000081,25840.0,38.9,Gloucester,3188,31,51.8653705,-2.2458192
306,E07000082,28761.0,46.4,Stroud,258,21,51.745424,-2.2198605
307,E07000083,,44.7,Tewkesbury,223,22,51.9925394,-2.156017
239,E07000084,33830.0,41.0,Basingstoke and Deane,277,41,51.2587797,-1.2211073
240,E07000085,40919.0,46.9,East Hampshire,235,22,51.0401277,-0.9656368
241,E07000086,28543.0,42.2,Eastleigh,1653,17,50.9573881,-1.3602724
242,E07000087,33102.0,46.3,Fareham,1567,40,50.8526637,-1.1783134
243,E07000088,25507.0,42.2,Gosport,3363,22,50.7952074,-1.1210853
244,E07000089,41808.0,43.4,Hart,447,20,51.2761671,-0.892799
245,E07000090,27619.0,45.8,Havant,2272,30,50.8519351,-0.9821263
246,E07000091,27106.0,50.4,New Forest,239,27,50.8575514,-1.5779646
247,E07000092,33288.0,38.3,Rushmoor,2437,14,51.2752389,-0.7693917
248,E07000093,32490.0,44.9,Test Valley,199,15,51.1337904,-1.5182864
249,E07000094,,43.4,Winchester,188,22,51.0612766,-1.3131692
165,E07000095,35279.0,40.1,Broxbourne,1883,37,51.7465723,-0.0190782
166,E07000096,34227.0,40.6,Dacorum,726,44,51.7689541,-0.551551
168,E07000098,38523.0,40.7,Hertsmere,1030,74,51.6808298,-0.2681113
169,E07000099,33290.0,42.1,North Hertfordshire,355,20,51.9568649,-0.2230509
172,E07000102,44711.0,41.8,Three Rivers,1048,25,51.6701376,-0.4738013
