,estimate,std error,z value,pvalue,or,lower,upper,pollutants,significance
0,-0.12018358932557957,0.031091252806495,-3.8655113087135904,0.0001108567120116009,0.8867576225382678,0.8343341269164795,0.9424750298011448,pm25,pvalue < 0.05
1,-0.08712849891551862,0.019921475137181392,-4.37359675001688,1.2221604290751555e-05,0.9165593111882314,0.8814615713523256,0.9530545610025918,pm10,pvalue < 0.05
2,0.01866892955031348,0.005952080527251646,3.1365384700085364,0.001709550072430017,1.0188442835395735,1.0070276448932816,1.0307995806920198,nox,pvalue < 0.05
3,0.03262309693597499,0.01023905769516315,3.186142505221538,0.0014418355801319358,1.033161064278005,1.0126340564008545,1.0541041731639305,no2,pvalue < 0.05
4,-0.06500413863981239,0.012650423582022789,-5.138495024956176,2.7694752504082627e-07,0.9370635852007178,0.9141153488483349,0.9605879212240539,o3,pvalue < 0.05
5,-0.14666352672504349,0.031129986477398616,-4.711326387228789,2.461097085568727e-06,0.8635845016422289,0.8124692764770008,0.9179155607095354,pm25_5yAvg,pvalue < 0.05
6,-0.10369307596700808,0.02021014622870328,-5.130743478725498,2.8859998849443583e-07,0.9015019475772427,0.8664904123422539,0.9379281639005049,pm10_5yAvg,pvalue < 0.05
7,0.016014408502830927,0.004840584895990551,3.308362284090015,0.0009384332636149981,1.0161433264046122,1.006548383965021,1.025829732823368,nox_5yAvg,pvalue < 0.05
8,0.028336893940357502,0.008645196753016206,3.2777615998700202,0.0010463372547503491,1.0287422030625342,1.0114577627048522,1.0463220110465214,no2_5yAvg,pvalue < 0.05
9,-0.2798480761620477,0.04218779611573911,-6.63338931937343,3.280649964442468e-11,0.7558985717448976,0.6959102089246237,0.821058009263756,o3_5yAvg,pvalue < 0.05
