,or,0.025,0.975,pvalue,significance,names
no2_val,1.0311181869096377,1.0112963723558994,1.051328516979641,0.001973461299905576,p-value < 0.05,no2_val
nox_val,1.0168222674542253,1.0056564235789298,1.0281120861448994,0.0030647463298273353,p-value < 0.05,nox_val
o3_val,0.9607004355227353,0.9371433542030891,0.984849673931061,0.001549830952547925,p-value < 0.05,o3_val
pm10_val,0.9602709474605624,0.924076502352432,0.9978830650810342,0.038633406666579155,p-value < 0.05,pm10_val
pm25_val,0.9570482841247957,0.9008613174241662,1.0167396473023929,0.1549751562142964,p-value > 0.05,pm25_val
