lon,lat,Code,deaths,X2018_people_per_sq_km,Mean_ann_earnings,median_age_2018,pm25_val,no2_val,o3_val,pm10_val,so2_val,nox_val
-0.886537,51.4570846,E06000041,39,939,41939.0,41.6,10.687595000000002,15.052600000000002,10.7623644,15.339728,1.3921641999999999,20.864216999999996
-0.7589607,52.0429797,E06000042,79,870,31343.0,37.6,11.048485,14.499737999999999,7.713021099999999,16.962875,1.4136434999999998,19.804753
-0.1497469,50.8453169,E06000043,44,3508,31235.0,35.4,11.025587,14.884485999999999,10.339440499999998,15.875898000000001,1.4738268,20.408858000000002
-1.075614,50.8036831,E06000044,35,5327,24884.0,33.9,13.213224,21.359121,8.8209,18.101809000000003,2.8897664999999995,31.675248
-1.404189,50.9025349,E06000045,39,5065,23961.0,32.2,10.3177922,24.544592,7.3112921,14.633811000000003,2.871123,38.672284000000005
-1.3328043,50.6710825,E06000046,13,373,23418.0,50.1,8.246204899999999,7.431828999999999,13.554466,12.943836000000001,0.8968355899999999,9.571687099999998
-1.75,54.666667,E06000047,160,237,26634.0,43.5,6.033100500000001,5.734912199999999,5.1401094,9.5391365,0.8921987300000002,7.2482203
-2.2928803,53.1673422,E06000049,103,326,31067.0,46.2,6.7889721000000005,8.608928700000002,5.133789999999999,10.791557000000001,1.2835097,11.150360000000001
-2.7285361,53.1637979,E06000050,73,371,29183.0,44.4,6.423489999999999,6.6073813,6.40737,10.0441294,1.2264743,8.413502699999999
-2.7958679,52.6523393,E06000051,41,100,26455.0,47.4,6.878002,4.5074974,10.0866204,11.448956999999998,0.7634805100000001,5.6249027
-4.75,50.416667,E06000052,76,160,22887.0,47.2,6.0424697,5.1400562999999995,10.629639999999998,11.137944000000001,0.8257189699999999,6.4494969000000015
-6.2928791,49.9203409,E06000053,0,137,32110.0,48.0,4.9481459,3.9089489,10.364168000000001,8.587166700000001,0.49795464,4.8621471000000005
-1.916667,51.25,E06000054,89,153,29483.0,44.6,7.902180400000001,6.110295400000001,13.969995,11.684230000000001,0.51993504,7.761976199999999
-0.4675041,52.1363806,E06000055,32,360,28943.0,40.2,10.587698,14.592962,7.913419499999999,15.744936000000001,1.4550798,20.014753
-0.4791514,51.9980328,E06000056,61,396,32221.0,41.3,10.3542272,11.1673792,9.6450359,15.84262,1.5469156,14.870687999999998
-2.000559,55.25,E06000057,59,64,25438.0,48.0,5.079355600000001,3.8875708,3.0699431000000006,7.382213300000002,0.39700854999999996,4.8306673
-2.8043933,54.0604605,E07000004,30,221,33029.0,40.3,7.185645199999999,11.115414099999999,4.470125,10.4597526,1.3324588800000001,14.755891000000002
-0.6195159,54.4884388,E07000005,41,489,43497.0,45.1,6.911783699999999,7.0564619,7.342559499999998,11.0935947,0.8105221699999999,9.0425012
-0.58855,51.55964,E07000006,22,496,46937.0,44.8,10.398628,15.618631000000002,10.107496999999999,15.004933999999997,1.2795134,21.600329
-0.74934,51.62907,E07000007,36,538,37322.0,41.2,10.940237000000002,14.885444000000001,10.135089,15.747469999999998,1.3042394000000002,20.427654
0.1235817,52.2034823,E07000008,12,3090,36066.0,30.6,10.342817300000002,14.0398031,10.723327000000001,15.7755,1.3099645,19.208401000000002
0.2628939,52.3349886,E07000009,13,137,30966.0,43.0,9.728483399999998,7.196457,13.282910000000001,16.401757999999997,0.9174117900000001,9.226065700000001
0.0101577,52.56284,E07000010,14,186,25799.0,44.8,9.7234813,7.203679200000001,10.905031000000001,16.943409000000003,1.3493203999999999,9.250054
-0.2235779,52.371044,E07000011,18,196,33158.0,43.3,9.6933509,9.393191499999999,9.5884524,15.923307,1.01174296,12.245406
-0.0034368,52.179654,E07000012,12,175,38350.0,42.9,9.5571141,7.3911396,12.372800999999999,15.671176000000003,0.89220718,9.4888027
-3.252788,54.708881,E07000026,24,79,28789.0,47.8,4.7698073,4.101635,3.0095067,7.207602,0.54814907,5.103805100000001
