,or,0.025,0.975,pvalue,names,significance
no2_5yAvg,1.026130368851633,1.0084067001710078,1.0441655471954203,0.003711531767853963,no2_5yAvg,p-value < 0.05
nox_5yAvg,1.0149343551801269,1.0050842519316887,1.0248809921607556,0.002890467005848939,nox_5yAvg,p-value < 0.05
pm10_5yAvg,0.9179186366465352,0.8812461522562047,0.9561172225783201,3.83561218600237e-05,pm10_5yAvg,p-value < 0.05
pm25_5yAvg,0.8847353954771326,0.8304753338498589,0.9425406006719428,0.0001491242464038281,pm25_5yAvg,p-value < 0.05
o3_5yAvg,0.7721754055527928,0.7091832143257728,0.8407627886504411,2.6047443367253046e-09,o3_5yAvg,p-value < 0.05
