,estimate,std error,z value,pvalue,or,lower,upper,pollutants,significance
0,-0.06018042105386204,0.046409236191883675,-1.2967337106139822,0.19472282612071123,0.9415946347617328,0.8597265954559118,1.0312586127941266,pm25,pvalue < 0.05
1,-0.04690289673767206,0.029736203267001018,-1.5772994392233435,0.11472664138173713,0.9541800470874345,0.9001581722293959,1.0114439776788005,pm10,pvalue < 0.05
2,0.01761093307906279,0.008881517928689776,1.9828742361904794,0.04738147914672023,1.0177669199067918,1.000203498513798,1.035638752309631,nox,pvalue < 0.05
3,0.030469059807532183,0.015280581626696526,1.993972517008125,0.04615505803913222,1.0309379921354205,1.0005198052083113,1.0622809644502011,no2,pvalue < 0.05
4,-0.04221534897231727,0.01888149390262047,-2.235805555960718,0.025364510849830303,0.9586633111829356,0.9238344435919315,0.9948052387340719,o3,pvalue < 0.05
5,-0.07389808939901706,0.051205685798091725,-1.4431617943836035,0.1489748992207782,0.9287663401543718,0.8400789618444353,1.0268164705730158,pm25_5yAvg,pvalue < 0.05
6,-0.05611617632946637,0.033239771718099984,-1.6882238784723524,0.09136826113837539,0.9454292930049168,0.8857992521563701,1.0090734959369645,pm10_5yAvg,pvalue < 0.05
7,0.016144151043851848,0.007961679378050989,2.0277318738002132,0.04258762070797154,1.0162751719746261,1.0005396917876526,1.032258123939828,nox_5yAvg,pvalue < 0.05
8,0.02822927311334847,0.014220198565542953,1.9851532299802752,0.04712742603649505,1.0286314949332187,1.0003582602317496,1.057703819153176,no2_5yAvg,pvalue < 0.05
9,-0.2229603178138204,0.06938095482359737,-3.213566581502114,0.0013109739908441713,0.8001466002309381,0.6984131188518216,0.9166989630917336,o3_5yAvg,pvalue < 0.05
